gene_ID,genes,MLS0036,MLS0037,MLS0038,MLS0039,MLS0040,MLS0041,MLS0042,MLS0043,MLS0044,MLS0045,MLS0046,MLS0047,MLS0048,MLS0049
ENSMUSG00000070605.4,Zfp992,0,0,0,0,0,0,0,0,0,0,4.954022,10.167949,4.300983,0
ENSMUSG00000067916.9,Zfp991,0,0,0,0,0,0,0,0,0,0,6.7803,16.446558,2.318933,0
ENSMUSG00000078503.9,Zfp990,0,0,0,0,0,0,0,0,0,0,0,0,0,6.791739
ENSMUSG00000086147.2,Zfp989,0,0,0,0,0,0,0,0,0,0,5.61135,0,0,0
ENSMUSG00000078498.5,Zfp988,0,0,0,0,0,0,0,34.406826,0,0,0,0,0,0
ENSMUSG00000066009.8,Zfp987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000078500.3,Zfp986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065999.13,Zfp985,0,0,0,0,0,0,0,0,0,0,0.627772,0,0,7.41995
ENSMUSG00000078495.10,Zfp984,0,0,0,0,0,0,0,39.203814,0,0,2.7681,18.94082,20.736166,0
ENSMUSG00000035868.9,Zfp983,0,0,0,0,0,0,0,0,0,21.767285,0,0,0,0
ENSMUSG00000078496.9,Zfp982,0,0,0,0,0,0,0,0,0,0,1.384592,0,0,0
ENSMUSG00000056300.14,Zfp981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058186.13,Zfp980,0,0,0,0,0,0,0,0,0,0,0.432828,0,0,0
ENSMUSG00000066000.12,Zfp979,0,0,0,0,142.135934,0,0,0,0,0,9.036159,5.99491,0,0
ENSMUSG00000078497.9,Zfp978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092335.1,Zfp977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000074158.9,Zfp976,0,0,0,0,0,0,0,0,0,0,1.246266,0,0,0
ENSMUSG00000069727.5,Zfp975,0,0,0,0,0,0,0,0,0,0,1.101593,0,2.072159,0
ENSMUSG00000070709.12,Zfp974,0,0,0,0,0,0,0,0,15.398525,0,0,0,0,0
ENSMUSG00000078879.10,Zfp973,0,0,0,0,0,0,0,0,0,0,1.338925,12.133273,0,0
ENSMUSG00000074529.10,Zfp972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000074519.11,Zfp971,0,0,0,0,0,0,0,0,0,0,1.227111,0,0,0
ENSMUSG00000078866.10,Zfp970,0,0,0,0,0,0,0,0,0,0,1.105104,0,0,0
ENSMUSG00000095990.1,Zfp97,0,0,0,47.450107,0,0,0,0,0,0,1.292032,5.745674,0,0
ENSMUSG00000095545.7,Zfp969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000078898.9,Zfp968,0,0,0,0,0,0,0,0,0,0,0,12.123734,0,0
ENSMUSG00000095199.8,Zfp967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089756.2,Zfp966,0,0,0,0,0,0,0,0,0,0,0.589965,0,0,0
ENSMUSG00000078896.11,Zfp965,0,0,0,0,0,0,0,0,0,0,1.811816,12.133273,0,0
ENSMUSG00000091764.3,Zfp964,0,0,0,0,0,0,0,0,0,0,1.224494,0,4.606685,0
ENSMUSG00000092260.7,Zfp963,0,0,0,0,0,0,51.865443,0,0,0,1.513669,0,0,0
ENSMUSG00000052446.17,Zfp961,94.474382,221.428774,18.795146,94.329994,60.429074,100.37209,12.293023,145.187934,0,22.297528,6.761212,5.711151,35.373154,15.179408
ENSMUSG00000096696.1,Zfp960,0,0,0,47.752564,0,0,0,36.122652,0,0,0.650134,5.782298,0,0
ENSMUSG00000003198.10,Zfp959,0,0,0,0,0,0,0,0,0,0,7.749218,0,0,0
ENSMUSG00000058748.9,Zfp958,0,0,0,0,0,0,0,0,11.292803,0,2.475073,0,0,0
ENSMUSG00000071262.10,Zfp957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045466.18,Zfp956,0,0,18.196539,0,0,0,0,0,11.378313,0,3.115097,5.519577,2.349977,0
ENSMUSG00000096910.2,Zfp955b,0,0,0,0,0,0,0,0,5.488984,0,6.317169,0,4.508056,0
ENSMUSG00000094441.2,Zfp955a,0,0,0,0,0,0,0,27.183723,0,0,4.403264,8.702816,9.2031,0
ENSMUSG00000062116.10,Zfp954,0,0,0,0,132.876128,0,0,0,0,0,1.698244,0,3.194494,0
ENSMUSG00000098905.2,Zfp953,0,0,0,0,0,0,7.097267,0,0,0,0.370731,0,1.394731,4.381848
ENSMUSG00000053390.16,Zfp952,0,0,0,0,0,0,0,0,0,0,2.873358,0,10.787752,28.306495
ENSMUSG00000072774.10,Zfp951,0,0,0,0,0,0,0,0,0,10.366446,0.901668,0,2.246266,0
ENSMUSG00000074733.14,Zfp950,0,0,0,26.395044,0,0,12.057362,0,116.489791,0,1.934847,0,4.738945,0
ENSMUSG00000032425.15,Zfp949,0,0,0,0,0,0,0,0,0,0,3.865628,0,0,0
ENSMUSG00000067931.6,Zfp948,0,0,19.136922,0,0,0,0,0,0,0,0.653811,0,4.919425,0
ENSMUSG00000063383.5,Zfp947,0,0,0,0,0,0,0,0,0,0,0.603728,0,0,0
ENSMUSG00000071266.13,Zfp946,0,0,0,0,0,0,0,0,0,0,8.133776,0,0,0
ENSMUSG00000059142.16,Zfp945,0,0,8.921348,64.961994,0,22.067533,25.755083,51.216966,0,6.930148,5.615332,11.63308,0,15.901171
ENSMUSG00000033972.9,Zfp944,0,0,0,0,0,0,0,0,0,0,3.114058,0,9.372352,0
ENSMUSG00000053347.15,Zfp943,0,0,0,0,29.765061,0,0,0,0,0,1.977153,0,0,0
ENSMUSG00000071267.11,Zfp942,0,0,0,0,0,0,0,0,0,0,1.885649,9.446487,12.335528,0
ENSMUSG00000060314.13,Zfp941,0,0,0,0,0,0,0,0,0,0,0,0,2.325789,0
ENSMUSG00000050855.16,Zfp940,0,0,0,0,0,0,10.964509,0,0,0,2.499761,0,0,7.378789
ENSMUSG00000074282.10,Zfp94,0,0,0,0,0,0,0,0,0,0,3.385259,0,0,0
ENSMUSG00000030424.15,Zfp939,0,0,0,0,0,0,0,0,0,0,1.527039,0,0,0
ENSMUSG00000062931.15,Zfp938,0,0,0,0,0,0,0,0,0,0,1.667428,0,0,0
ENSMUSG00000060336.6,Zfp937,0,0,0,0,0,0,0,0,0,0,4.339418,0,0,0
ENSMUSG00000064194.10,Zfp936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000055228.8,Zfp935,0,0,0,0,50.022092,0,0,0,0,0,4.252379,0,0,0
ENSMUSG00000074865.11,Zfp934,0,0,0,0,0,0,0,0,0,0,0.787514,0,0,0
ENSMUSG00000059423.13,Zfp933,0,70.541213,0,0,0,0,0,0,0,0,1.636534,0,0,0
ENSMUSG00000066613.14,Zfp932,0,0,0,0,0,0,0,0,6.719023,0,6.871036,0,0,0
ENSMUSG00000078861.8,Zfp931,0,0,0,0,0,0,0,0,0,0,1.263205,0,0,0
ENSMUSG00000059897.5,Zfp930,258.724028,0,0,0,0,0,0,195.413909,0,0,0.577777,67.644666,0,0
ENSMUSG00000055305.15,Zfp93,0,0,0,0,0,0,0,0,0,12.953597,0,0,0,0
ENSMUSG00000031374.13,Zfp92,0,0,8.800263,0,0,0,0,46.991267,0,0,0,0,0,0
ENSMUSG00000024695.16,Zfp91,0,0,0,0,0,0,14.612036,17.418028,24.876707,10.885612,26.222337,25.093564,15.673208,3.70528
ENSMUSG00000118491.1,Zfp91,0,0,0,0,0,0,20.61094,0,34.522146,0,17.764344,19.151058,2.025196,6.36259
ENSMUSG00000031907.9,Zfp90,0,0,0,0,0,0,26.074938,68.117671,31.225498,12.915981,16.332811,0,10.790296,24.236639
ENSMUSG00000072623.6,Zfp9,77.727618,0,0,0,49.717265,22.767741,20.22786,58.707565,9.680146,0,1.930562,9.397556,3.975111,0
ENSMUSG00000089857.9,Zfp882,0,0,0,0,25.883894,57.323856,0,0,0,0,0.550098,0,4.139059,0
ENSMUSG00000044296.10,Zfp879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059839.9,Zfp874b,0,0,0,0,0,0,0,0,0,16.081282,0,0,44.788326,0
ENSMUSG00000069206.14,Zfp874a,0,0,0,0,0,82.731131,0,0,9.716072,0,6.105308,0,5.973504,0
ENSMUSG00000061371.7,Zfp873,0,0,0,0,0,0,0,0,0,0,0.882209,0,0,0
ENSMUSG00000074472.10,Zfp872,0,0,0,0,0,0,0,0,0,0,0,0,0,14.690729
ENSMUSG00000024298.15,Zfp871,0,0,9.354182,0,7.518757,8.325721,3.059065,0,7.666906,0,8.917931,4.80417,8.033249,5.665995
ENSMUSG00000095325.3,Zfp870,0,0,0,0,0,0,62.721261,0,0,0,0,0,0,0
ENSMUSG00000097333.7,Zfp87,0,112.557855,0,0,0,0,0,0,0,11.334398,4.572223,0,0,0
ENSMUSG00000054648.8,Zfp869,0,0,0,0,0,0,5.459526,0,0,52.202928,9.210363,0,0,0
ENSMUSG00000060427.15,Zfp868,0,0,44.932374,0,0,0,0,0,25.035635,0,7.178971,0,0,0
ENSMUSG00000054519.8,Zfp867,0,0,0,0,0,52.955684,0,0,0,0,0,0,0,0
ENSMUSG00000043090.18,Zfp866,0,0,0,0,0,0,0,0,0,18.554182,1.181313,0,6.030654,0
ENSMUSG00000074405.8,Zfp865,0,0,18.398469,16.974022,0,0,17.731794,0,12.886293,10.904269,14.881237,5.463793,13.127302,0
ENSMUSG00000107476.3,Zfp862-ps,0,0,0,0,22.972615,0,0,0,17.883806,37.350074,0.285887,8.680865,3.226624,0
ENSMUSG00000044081.7,Zfp85os,0,0,0,0,0,0,0,0,0,0,2.757294,0,0,0
ENSMUSG00000093910.2,Zfp853,0,0,0,0,0,0,0,32.738579,0,0,0,0,6.665946,0
ENSMUSG00000096916.7,Zfp850,0,0,0,0,0,0,0,0,0,0,2.680256,0,0,0
ENSMUSG00000058331.15,Zfp85,0,0,0,0,0,0,0,0,0,0,0.74996,0,0,0
ENSMUSG00000058192.16,Zfp846,0,183.595025,0,0,0,6.963342,0,7.425552,1.224381,35.658265,1.040557,29.845275,2.451391,12.594497
ENSMUSG00000046185.10,Zfp84,0,0,0,0,39.672274,0,0,23.423077,0,0,5.058811,11.248278,1.585985,0
ENSMUSG00000021271.5,Zfp839,0,0,0,253.697386,0,0,0,39.913408,0,0,11.752856,6.40949,8.042028,0
ENSMUSG00000050600.5,Zfp831,0,0,0,12.986243,0,0,0,0,1.619774,0,0,3.144976,0,0
ENSMUSG00000046010.7,Zfp830,0,0,0,0,0,0,0,0,0,0,4.35929,0,16.400144,12.881146
ENSMUSG00000071064.15,Zfp827,0,0,0,0,28.72281,0,0,0,0,0,1.229082,8.4364,2.328353,26.753412
ENSMUSG00000069208.9,Zfp825,0,0,0,0,0,0,0,0,0,0,1.200711,0,0,0
ENSMUSG00000031728.10,Zfp821,0,0,0,0,0,0,0,0,0,0,8.122482,8.998882,12.281779,0
