"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mcm5",1.60307491080514e-18,3.02528817805259,0.744,0.106,3.0859192032999e-14,"3","Mcm5"
"Ccna2",9.36308638380913e-18,5.52325295153375,0.462,0.017,1.80239412888326e-13,"3","Ccna2"
"Ska1",1.05038680279817e-17,7.70139970928582,0.385,0,2.02199459538648e-13,"3","Ska1"
"Tyms",5.9762376461503e-17,3.20634577160357,0.718,0.134,1.15042574688393e-12,"3","Tyms"
"Ckap2l",1.4795321124734e-16,7.85111441492328,0.359,0,2.84809931651129e-12,"3","Ckap2l"
"Melk",1.4795321124734e-16,7.6672608963234,0.359,0,2.84809931651129e-12,"3","Melk"
"Asf1b",8.83410553372099e-16,3.80727423962856,0.564,0.061,1.70056531524129e-11,"3","Asf1b"
"Gmnn",1.26902651126605e-15,2.87006662509082,0.667,0.106,2.44287603418714e-11,"3","Gmnn"
"Tpx2",1.46931555450955e-15,4.84757760957035,0.436,0.022,2.82843244243089e-11,"3","Tpx2"
"Ndc80",2.03985500091291e-15,7.7281462202081,0.333,0,3.92672087675736e-11,"3","Ndc80"
"Rad51",2.56031110159466e-15,6.68487466837219,0.359,0.006,4.92859887056973e-11,"3","Rad51"
"Prc1",2.93613017864718e-15,5.68737789258753,0.385,0.011,5.65205059389582e-11,"3","Prc1"
"Spc24",3.71349363947538e-15,3.88454022860001,0.487,0.039,7.1484752559901e-11,"3","Spc24"
"Pbk",3.7611953172074e-15,4.5301752889954,0.41,0.017,7.24030098562425e-11,"3","Pbk"
"Smc2",5.69712821176811e-15,2.96315952202202,0.667,0.123,1.09669718076536e-10,"3","Smc2"
"Cks1b",1.68622445987681e-14,2.39408130243472,0.821,0.235,3.24598208526287e-10,"3","Cks1b"
"Cdca8",2.54189249633077e-14,3.66045579649413,0.538,0.067,4.89314305543673e-10,"3","Cdca8"
"Plk1",2.75442922114028e-14,7.86925969903881,0.308,0,5.30227625069503e-10,"3","Plk1"
"Prim1",3.19597742318685e-14,3.17996231248736,0.513,0.05,6.15225653963469e-10,"3","Prim1"
"Smc4",3.9255493140686e-14,2.7452469162534,0.718,0.179,7.55668242958205e-10,"3","Smc4"
"Racgap1",4.02016798084258e-14,4.00032276860765,0.462,0.039,7.73882336312196e-10,"3","Racgap1"
"Pkmyt1",5.63068977441907e-14,5.31196749045504,0.333,0.006,1.08390778157567e-09,"3","Pkmyt1"
"Tmpo",8.91960971895854e-14,2.38644631422185,0.795,0.229,1.71702487089952e-09,"3","Tmpo"
"Mcm7",1.89702525276756e-13,2.63300204158084,0.641,0.112,3.65177361157756e-09,"3","Mcm7"
"Fignl1",3.23458801197224e-13,4.14576771747455,0.385,0.022,6.22658192304657e-09,"3","Fignl1"
"Ccnf",3.64518498431318e-13,6.94605719612073,0.282,0,7.01698109480286e-09,"3","Ccnf"
"Lmnb1",4.2105920985262e-13,2.73283309683806,0.641,0.123,8.10538978966293e-09,"3","Lmnb1"
"Rfc5",4.41452863184437e-13,2.7985445804969,0.564,0.078,8.49796761630042e-09,"3","Rfc5"
"Cenph",4.73439473255555e-13,4.175808836109,0.385,0.022,9.11370986016943e-09,"3","Cenph"
"Top2a",5.11265600325467e-13,4.38290884326677,0.41,0.034,9.84186280626523e-09,"3","Top2a"
"Ncapg",5.38079783842223e-13,5.93832537436949,0.308,0.006,1.03580358389628e-08,"3","Ncapg"
"Cdca2",6.22000620781424e-13,5.09988939555752,0.333,0.011,1.19735119500424e-08,"3","Cdca2"
"Cks2",6.99937286507702e-13,3.33243164377299,0.513,0.073,1.34737927652733e-08,"3","Cks2"
"Mki67",1.41035892728818e-12,4.31374901017528,0.385,0.028,2.71494093502975e-08,"3","Mki67"
"Hmgb2",1.85274166326579e-12,1.97388389039613,0.872,0.397,3.56652770178664e-08,"3","Hmgb2"
"Cdk1",2.35800672648131e-12,2.46822609006478,0.692,0.168,4.53916294847653e-08,"3","Cdk1"
"Aurkb",4.19220010968946e-12,4.10557965259799,0.41,0.039,8.06998521115221e-08,"3","Aurkb"
"Esco2",4.73170085783094e-12,6.64751220835344,0.256,0,9.10852415132457e-08,"3","Esco2"
"Rrm2",5.20320075800079e-12,5.98101367210064,0.308,0.011,1.00161614591515e-07,"3","Rrm2"
"Cenpm",7.19306010521984e-12,5.38095155783876,0.308,0.011,1.38466407025482e-07,"3","Cenpm"
"Shcbp1",7.52218418479791e-12,5.65778999489667,0.282,0.006,1.4480204555736e-07,"3","Shcbp1"
"Bub1",7.90395844195179e-12,5.37810803693833,0.282,0.006,1.52151200007572e-07,"3","Bub1"
"Cdca3",1.04701716394657e-11,3.28133719488934,0.487,0.073,2.01550804059715e-07,"3","Cdca3"
