"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Otud6b",460.500338203614,0.0732912832753239,0.114682596478751,0.639079385414019,0.522771289779378,0.999887176930905
"Pip4p2",655.36451745939,0.0328261207007296,0.0887733481695013,0.36977450301922,0.71155051444925,0.999887176930905
"Gm11837",27.0275712417484,0.463853819959792,0.360598388858322,1.28634468231648,0.198322794931076,0.999887176930905
"Necab1",10.9762637383588,-0.333083717579766,0.72488470012803,-0.459498893439104,0.64587594650305,0.999887176930905
"Tmem64",746.846144804852,0.0774407332371146,0.132587117769906,0.584074339495837,0.559170298120914,0.999887176930905
"Decr1",302.716555278672,-0.0406116516610372,0.12108600950582,-0.335395078480022,0.737327079992677,0.999887176930905
"Nbn",194.002990424156,0.150817743335508,0.152162522576426,0.991162217751464,0.3216063762251,0.999887176930905
"Osgin2",47.9606785261524,-0.0840943486368287,0.271964291882247,-0.309210992571184,0.757161032514779,0.999887176930905
"Ripk2",54.6944604820805,0.382606071783875,0.254592780104178,1.50281587571853,0.132886530874363,0.940504887789306
"A530072M11Rik",12.1364351004382,0.155604641159446,0.523186518803806,0.297417145830162,0.76614805513343,0.999887176930905
"Mmp16",112.969668219893,-0.167847999127161,0.232843725470246,-0.720861164663889,0.47099493871435,0.999887176930905
"Cngb3",44.884917999801,-0.637581181301541,0.306166986696037,-2.082462215087,0.0373002707518741,0.577882004461437
"Cpne3",923.061102896037,-0.00644889332166999,0.0980437007074767,-0.0657757028257319,0.947556400671014,0.999887176930905
"Rmdn1",102.578614405393,-0.0124838962453786,0.187206841851468,-0.0666850427148571,0.946832441989061,0.999887176930905
"Wwp1",544.66324748505,0.0102794854810551,0.0988281549407972,0.104013734620595,0.917158449041724,0.999887176930905
"Gm12353",9.6974147007481,-0.514146336125266,0.61028777096443,-0.842465408265951,0.399527494391355,0.999887176930905
"Ttpa",27.499727827926,-0.528777850516767,0.424735289755252,-1.24495859720408,0.213146969626147,0.999887176930905
"Ggh",520.516653330257,-0.0748482708987847,0.123752699988483,-0.604821316268255,0.545297728547159,0.999887176930905
"Nkain3",163.962050236706,-0.110564404610902,0.217919809128187,-0.507362800349484,0.611900281919098,0.999887176930905
"Ccnc",298.890890307212,0.129177432401352,0.13553558893603,0.95308865675362,0.340545152904342,0.999887176930905
"Tstd3",16.0854877535475,-0.270338257364956,0.493377964009882,-0.547933383906747,0.583737645025681,0.999887176930905
"Usp45",205.574471825431,0.0949045340901752,0.147613565240203,0.642925559962884,0.520272403286265,0.999887176930905
"4930528A17Rik",11.9249534948729,0.0619743062226631,0.518425138685675,0.119543404819801,0.904844854486736,0.999887176930905
"Pnisr",1117.90686732586,0.0418528236081441,0.0950279419540924,0.440426497170306,0.659628237307303,0.999887176930905
"Coq3",98.2060814794185,-0.0824978958804572,0.19372844676092,-0.425842963487276,0.670222278201286,0.999887176930905
"Faxc",184.423338538588,-0.056523047041321,0.139040060888631,-0.40652346295069,0.684358020887865,0.999887176930905
"Fbxl4",151.124129420446,0.00251728412955812,0.167733410581735,0.0150076488686878,0.988026078155531,0.999887176930905
"Pou3f2",39.5131211067052,-0.0667078624918129,0.438967810343759,-0.151965271529986,0.879214326777694,0.999887176930905
"Mms22l",63.3163012879359,-0.116275173930808,0.239581381748846,-0.485326418447238,0.627444818371309,0.999887176930905
"Klhl32",241.69537867086,0.124439278972956,0.125317370643238,0.992993057021742,0.320713338000922,0.999887176930905
"Ndufaf4",105.251426804381,0.0645631112707239,0.187064771270268,0.345137734017508,0.729990826715245,0.999887176930905
"Gpr63",27.1899059481603,0.111500274811755,0.36629479853361,0.304400377122811,0.760822880512953,0.999887176930905
"Ufl1",444.808996757437,-0.137055093823544,0.101681117965951,-1.3478912955052,0.177693348147385,0.989375171057999
"Fut9",79.6484607490603,-0.156324607996183,0.228754010958756,-0.683374282011467,0.494370366740676,0.999887176930905
"Manea",529.012528307367,-0.0532627079700768,0.109440978570734,-0.486679748899102,0.626485298596087,0.999887176930905
"Epha7",233.39694460018,0.494146309570679,0.386599978609145,1.27818504115921,0.20118418927488,0.999887176930905
"Map3k7",696.165065369783,0.0757331307719728,0.097724600307408,0.774964855663184,0.438360426754298,0.999887176930905
"Bach2",103.994906006804,-0.202195894296972,0.200777134401554,-1.00706634198982,0.313902894350499,0.999887176930905
"Casp8ap2",212.061007701922,0.0448147413182732,0.139683741842402,0.320830045982269,0.7483391886532,0.999887176930905
"Mdn1",317.607868232017,-0.148300592620241,0.122451030468146,-1.2111012218784,0.225856613175199,0.999887176930905
"Lyrm2",214.230860953015,-0.00059822041113817,0.146687688020796,-0.00407819101391359,0.996746083373659,0.999887176930905
"Ankrd6",188.596942783631,-0.428569887639133,0.145853199579925,-2.93836466305482,0.00329948678359338,0.124413981446001
"Rragd",438.296696461578,-0.0781124064419283,0.109907612580653,-0.710709700700732,0.477264147075896,0.999887176930905
"4933421O10Rik",82.4604436757577,0.0179605770264535,0.23634909791262,0.0759917308129252,0.93942567703113,0.999887176930905
"Ube2j1",381.935632760029,0.0274551283781876,0.125455296880947,0.218843915408703,0.826771636382534,0.999887176930905
"Pm20d2",172.535486752612,0.216920343918591,0.175720354753054,1.2344633848676,0.217030282512309,0.999887176930905
"Srsf12",31.0446663607543,-0.0128080457719636,0.327102180924786,-0.0391561002001045,0.968765933738972,0.999887176930905
"Pnrc1",280.611458607432,0.264852653752923,0.126500784187997,2.09368388862567,0.0362881490849942,0.569312921121962
